Date,Branch_Type,Daily_Sales,Customer_Count,Discount_Percentage,Product_Category,Feedback_Score
2026-01-01,Urban,58516.75,181,11.8,Grocery,3.85
2026-01-02,Rural,42368.96,170,5.17,Home Appliances,4.16
2026-01-03,Rural,36835.87,111,13.44,Grocery,3.83
2026-01-04,Rural,41719.51,108,22.58,Electronics,2.79
2026-01-05,Urban,51833.04,151,12.52,Electronics,3.0
2026-01-06,Urban,48024.11,170,13.63,Electronics,3.95
2026-01-07,Urban,55042.2,236,16.19,Clothing,5.0
2026-01-08,Rural,38285.4,117,11.05,Clothing,3.59
2026-01-09,Rural,42849.28,73,14.97,Grocery,3.99
2026-01-10,Rural,40224.8,146,22.4,Grocery,3.28
2026-01-11,Urban,42129.23,237,22.78,Grocery,3.59
2026-01-12,Rural,43424.1,145,25.94,Grocery,2.52
2026-01-13,Rural,46508.14,91,25.43,Electronics,3.26
2026-01-14,Urban,52565.42,149,27.07,Grocery,4.3
2026-01-15,Urban,60683.3,98,26.17,Home Appliances,3.36
2026-01-16,Urban,125000.0,241,26.27,Electronics,3.86
2026-01-17,Urban,115000.0,193,5.13,Home Appliances,3.57
2026-01-18,Urban,68791.97,199,21.3,Electronics,4.28
2026-01-19,Urban,51956.29,250,9.47,Home Appliances,3.77
2026-01-20,Urban,59805.07,217,12.7,Home Appliances,4.58
2026-01-21,Rural,29451.44,164,19.75,Clothing,4.43
2026-01-22,Urban,60194.61,198,15.86,Electronics,3.98
2026-01-23,Urban,64279.9,119,26.6,Home Appliances,4.7
2026-01-24,Urban,77055.44,150,24.21,Home Appliances,3.98
2026-01-25,Urban,51895.75,106,11.99,Clothing,4.11
2026-01-26,Rural,44849.03,148,19.31,Home Appliances,2.83
2026-01-27,Urban,44378.86,205,26.28,Home Appliances,3.09
2026-01-28,Urban,53926.84,156,28.4,Clothing,3.25
2026-01-29,Rural,32929.14,116,20.38,Clothing,4.09
2026-01-30,Urban,52523.88,240,26.93,Electronics,3.31
2026-01-31,Rural,48664.41,153,13.99,Electronics,4.63
2026-02-01,Urban,54740.04,115,27.83,Clothing,4.15
2026-02-02,Urban,64936.21,224,21.25,Home Appliances,4.0
2026-02-03,Rural,30779.48,164,7.35,Grocery,3.1
2026-02-04,Rural,32692.7,135,29.55,Clothing,3.73
2026-02-05,Rural,36697.91,107,5.97,Grocery,4.36
2026-02-06,Urban,34076.16,143,25.7,Home Appliances,4.26
2026-02-07,Urban,45426.7,197,6.29,Home Appliances,4.13
2026-02-08,Rural,57151.55,143,23.15,Electronics,4.38
2026-02-09,Urban,33773.72,203,24.88,Grocery,4.11
2026-02-10,Urban,44867.31,108,5.63,Electronics,3.93
2026-02-11,Urban,56544.89,151,15.22,Clothing,4.52
2026-02-12,Urban,47725.49,211,18.73,Home Appliances,3.61
2026-02-13,Rural,29912.93,138,28.87,Grocery,4.55
2026-02-14,Urban,40058.51,158,11.19,Home Appliances,5.0
2026-02-15,Rural,43550.56,135,16.85,Clothing,4.46
2026-02-16,Urban,40345.52,174,15.85,Grocery,3.94
2026-02-17,Urban,52016.32,99,18.48,Electronics,4.45
2026-02-18,Urban,57109.92,93,28.61,Home Appliances,4.09
2026-02-19,Urban,62551.92,217,21.93,Grocery,4.32
